id,filename,is_active,width,height,file_size
a009de20-e26c-48d8-aadf-407545d304fe,hair/female/hair_1.png,Y,512,512,21563
f73d45e9-d2e6-4b07-be7d-8ce37a6fa8f2,hair/female/hair_2.png,Y,512,512,27529
9398b848-f732-4a40-9959-b411bf7f5973,hair/female/hair_3.png,Y,512,512,22786
788906e5-a764-4338-b284-75f515695bc1,hair/female/hair_4.png,Y,512,512,12963
65eaaeea-ec2d-4213-a02d-a4ab49832d6c,hair/male/hair_1.png,Y,512,512,21563
505538a0-2794-4a3a-9bd9-7b3fa7eeeaac,hair/male/hair_2.png,Y,512,512,27529
33d096b2-64f0-491e-b0a0-6a29289f7088,hair/male/hair_3.png,Y,512,512,22786
db7c41da-58a3-441b-9b53-448eeffc2f0b,hair/male/hair_4.png,N,512,512,12963
a493dd59-8922-4ca9-b3a0-798a49d47661,hair/male/hair_5.png,N,512,512,10587
9f0a2791-338a-49a8-8565-ddb305d2d81f,hair/male/hair_6.png,N,512,512,11491
a4939fc9-49dd-4042-9658-8662165146a7,hair/male/hair_7.png,N,512,512,5959
5b401ea7-5027-4eba-8559-2bd0a793d943,hair/unisex/hair_1.png,N,512,512,21279
d9fb1d73-71d7-40e5-82f4-fe1208c8fcb7,hair/unisex/hair_2.png,N,512,512,27071
d7fd2e75-4c4e-4983-8a38-cac0fd8ed353,hair/unisex/hair_3.png,N,512,512,22417
cd84633c-2628-453d-8008-b4a4ecf1f467,hair/unisex/hair_4.png,N,512,512,12662
06e27c43-ac52-446d-809e-d4dc2cb17480,hair/unisex/hair_5.png,Y,1440,3200,117707
730776e2-3b28-4b9e-9977-cb25df89d33a,hair/unisex/hair_6.png,Y,1440,3200,118973
041751ea-ef86-42e9-a27e-d2e09b0684c6,hair/unisex/hair_7.png,Y,1440,3200,109518
