id,filename,is_active
788906e5-a764-4338-b284-75f515695bc1,hair/female/hair_4.png,Y
f73d45e9-d2e6-4b07-be7d-8ce37a6fa8f2,hair/female/hair_2.png,Y
a009de20-e26c-48d8-aadf-407545d304fe,hair/female/hair_1.png,Y
9398b848-f732-4a40-9959-b411bf7f5973,hair/female/hair_3.png,Y
9f0a2791-338a-49a8-8565-ddb305d2d81f,hair/male/hair_6.png,N
a493dd59-8922-4ca9-b3a0-798a49d47661,hair/male/hair_5.png,N
a4939fc9-49dd-4042-9658-8662165146a7,hair/male/hair_7.png,N
730776e2-3b28-4b9e-9977-cb25df89d33a,hair/unisex/hair_6.png,Y
06e27c43-ac52-446d-809e-d4dc2cb17480,hair/unisex/hair_5.png,Y
041751ea-ef86-42e9-a27e-d2e09b0684c6,hair/unisex/hair_7.png,Y
5b401ea7-5027-4eba-8559-2bd0a793d943,hair/unisex/hair_1.png,N
d9fb1d73-71d7-40e5-82f4-fe1208c8fcb7,hair/unisex/hair_2.png,N
d7fd2e75-4c4e-4983-8a38-cac0fd8ed353,hair/unisex/hair_3.png,N
cd84633c-2628-453d-8008-b4a4ecf1f467,hair/unisex/hair_4.png,N
65eaaeea-ec2d-4213-a02d-a4ab49832d6c,hair/male/hair_1.png,Y
33d096b2-64f0-491e-b0a0-6a29289f7088,hair/male/hair_3.png,Y
505538a0-2794-4a3a-9bd9-7b3fa7eeeaac,hair/male/hair_2.png,Y
db7c41da-58a3-441b-9b53-448eeffc2f0b,hair/male/hair_4.png,N
